PROV,2014_Factor,Pneumonia_Cases_2014,Pneumonia_Ratio_2014,HF_Cases_2014,HF_Ratio_2014,AMI_Cases_2014,AMI_Ratio_2014
100084,0.9955,676,1.028510,1305,1.083656,768,1.078865
100086,0.9984,151,1.039224,266,1.083915,98,0.997347
100087,1.0000,755,0.848633,1382,0.782562,962,0.821989
100088,0.9997,1096,0.935249,1162,1.016312,437,0.896884
100090,0.9952,822,1.072391,827,1.043204,375,1.032313
100092,0.9952,398,0.982856,606,1.216552,290,0.976889
100093,1.0000,281,1.005202,603,0.877030,190,0.965379
100099,0.9989,163,1.034986,420,1.016387,54,0.991887
100102,0.9961,192,1.136833,212,1.013522,68,1.046776
100105,0.9999,671,0.917212,893,0.936545,492,1.003168
100106,0.9987,114,0.978734,84,1.031549,24,0.000000
100107,0.9965,149,1.075847,195,1.032098,48,1.104913
100109,0.9967,446,1.068952,865,0.896575,329,1.102576
100110,0.9952,357,1.166045,591,1.051487,237,1.080264
100113,0.9988,366,1.028695,774,1.080049,378,1.022068
100117,0.9987,510,1.013156,325,1.044148,57,0.965382
100118,1.0000,216,0.878720,355,0.911202,160,0.977519
100121,0.9978,194,1.016307,155,1.095301,17,0.000000
100122,0.9978,300,1.037575,315,1.072925,42,0.962409
100124,1.0000,99,0.980107,148,1.003567,27,0.939899
100125,0.9967,220,0.988305,218,1.151438,35,1.056346
100126,0.9996,359,0.925890,351,1.021098,67,0.920847
100127,1.0000,561,0.923046,869,0.896006,694,0.916207
100128,0.9987,221,0.866379,493,1.083970,323,1.044446
100130,0.9973,41,1.097000,64,0.984655,11,0.000000
100131,0.9984,456,1.003143,837,1.027454,398,1.041758
100132,0.9936,235,1.137876,167,1.092981,54,1.024164
100134,1.0000,2,0.000000,2,0.000000,0,0.000000
100135,1.0000,338,0.845088,569,0.824958,435,0.844964
100137,0.9946,222,1.118778,547,1.136003,162,0.976188
100139,0.9968,45,1.059632,37,1.030391,1,0.000000
100140,1.0000,253,0.958663,112,0.925046,16,0.000000
100142,0.9971,262,1.052009,238,1.008007,58,0.926754
100150,0.9977,93,0.984026,124,1.073164,7,0.000000
100151,0.9997,400,1.008854,451,1.021221,165,0.979753
100154,1.0000,243,0.867202,432,0.973010,199,0.993758
100156,0.9918,418,1.124980,484,0.980882,57,1.181772
100157,0.9981,866,0.968780,1540,1.011365,720,1.100327
100161,0.9970,185,1.010395,526,1.013517,222,1.106155
100166,1.0000,259,1.002568,323,0.918713,95,0.862782
100167,0.9997,35,1.021147,46,0.972168,3,0.000000
100168,1.0000,872,0.850330,1473,0.843250,560,0.893306
100173,0.9994,436,1.071813,652,0.938684,352,0.953799
100175,0.9930,148,1.104082,135,0.988209,33,0.981474
100176,0.9964,334,0.838113,768,0.960518,616,1.087781
100177,1.0000,295,0.988517,282,0.960098,93,0.944332
100179,0.9979,529,1.079519,946,1.033657,265,1.023377
100180,0.9983,312,1.086729,189,0.986056,17,0.000000
100181,0.9985,158,1.055076,96,1.087173,40,0.981232
100183,0.9987,156,0.917344,241,1.052914,78,0.932024
100187,0.9945,326,1.111235,529,1.096617,296,1.059270
100189,0.9996,207,0.963825,459,1.014157,210,0.979251
100191,0.9964,201,1.007882,454,1.050939,201,1.161395
100200,0.9996,146,1.009536,116,0.959649,32,1.057191
100204,0.9991,859,0.997497,1610,1.011815,585,1.031156
100206,0.9991,193,1.002581,211,1.034930,29,1.015617
100209,0.9959,280,1.019825,482,1.104547,249,1.032721
100211,0.9986,116,1.100582,155,1.008030,18,0.000000
100212,0.9970,619,1.078948,637,0.823388,405,1.103221
100213,0.9989,313,1.144759,785,0.931381,532,0.830268
100217,0.9984,269,1.005743,388,0.987614,82,1.106468
100220,0.9985,812,0.992782,792,1.089016,389,0.859610
100223,0.9986,320,0.928194,490,0.941747,288,1.059086
100224,0.9998,230,0.961496,356,0.905983,86,1.038088
100226,1.0000,606,0.989965,631,0.998484,203,0.945366
100228,0.9957,163,1.090567,456,1.067750,224,1.094620
100230,0.9984,105,0.988747,135,1.086282,18,0.000000
100231,1.0000,493,0.982814,592,0.988871,290,0.965285
100232,0.9953,288,1.073431,387,1.114596,58,1.010850
