PROV,2016_Factor,Pneumonia_Cases_2016,Pneumonia_Ratio_2016,HF_Cases_2016,HF_Ratio_2016,AMI_Cases_2016,AMI_Ratio_2016,HIP_Cases_2016,HIP_Ratio_2016,COPD_Cases_2016,COPD_Ratio_2016
50283,0.9976,346,1.04165803,353,1.022552458,121,0.970990828,413,0.839289913,176,1.009322292
50289,0.9964,241,0.984789284,451,1.060545103,142,0.947054796,166,1.036793583,197,0.952498458
50290,0.9998,549,0.970252684,422,1.007870896,197,0.935032112,2179,0.636785562,251,0.964447015
50291,0.9998,80,1.023768068,178,0.851789394,176,0.825935603,193,0.863016854,129,0.9516084
50292,0.9992,83,1.033086759,110,1.01668593,17,0,3,0,85,0.943804422
50295,0.9948,309,1.165705694,164,0.973757431,30,0.956193068,239,0.703871723,224,1.002790997
50296,0.9961,146,1.00235257,115,1.013026569,28,1.042564111,31,1.078631267,73,1.030988938
50298,0.9993,86,1.01994144,118,0.994159232,17,0,5,0,76,0.921981277
50300,0.9920,271,1.032235913,447,1.08056489,237,1.169515803,147,0.899390047,347,1.004023242
50301,0.9991,196,0.898079004,220,1.011191225,21,0,53,1.020570253,100,0.910897706
50305,0.9984,196,1.10656352,261,0.996879788,31,1.023703975,323,0.871493878,169,0.980336002
50308,0.9925,471,0.952026906,567,0.824808543,212,1.003202987,843,1.121071087,329,0.940343612
50309,1.0000,457,0.999642189,468,0.826080691,304,0.844652409,559,0.994287285,566,0.967326419
50313,0.9966,117,1.017692222,119,1.056294763,28,1.009549916,66,1.036064168,115,1.011704626
50315,1.0000,11,0,10,0,0,0,6,0,17,0
50320,0.9989,40,1.012219072,60,0.984510569,27,1.059617742,7,0,76,1.016079062
50324,0.9990,304,1.063443279,324,0.952873201,194,0.916916597,514,0.828164775,154,0.889756755
50327,0.9983,191,1.060459902,414,1.022415145,234,0.884825741,433,1.01462607,134,1.062913665
50329,0.9974,231,1.07195172,255,0.973621658,22,0,34,0.971830982,155,0.979306172
50334,0.9976,316,0.975108639,568,0.91808998,294,0.941949416,383,0.990046874,346,1.115629334
50335,1.0000,338,0.908983341,214,0.830828841,55,0.977200987,443,0.924774623,233,0.905338014
50336,0.9965,424,1.000640787,434,1.087657431,94,0.937400486,190,0.77812852,320,0.956413259
50342,0.9922,247,1.03645418,210,1.029045277,41,1.000542563,120,1.029548135,153,1.138879628
50348,0.9993,110,1.015883526,172,1.008874689,63,1.050961859,102,0.952599895,68,1.056576217
50349,1.0000,8,0,9,0,0,0,0,0,14,0
50350,0.9974,227,0.989612969,318,0.994377768,133,1.103598669,34,0.920644275,181,0.932061091
50351,0.9975,454,1.024208945,590,1.011735626,310,1.03130615,585,0.96024846,299,1.048269593
50352,1.0000,102,0.971344148,77,0.942620529,4,0,145,0.945639131,47,0.936798369
50353,0.9911,381,0.923626047,496,1.021856944,302,1.163767428,331,1.111762472,271,0.87752465
50357,1.0000,62,0.954774885,30,0.983456764,1,0,577,0.693207068,16,0
50359,0.9984,202,0.928611455,149,1.024638266,37,1.025394198,1,0,135,1.012710881
50360,0.9990,403,0.835499212,383,1.042013992,288,0.952955454,402,0.944211364,191,0.912851215
50367,0.9948,349,1.120238917,372,1.006589039,189,1.012123519,154,0.986921027,353,1.036128163
50373,0.9978,47,1.026531152,80,1.090631149,36,1.068419404,0,0,31,0.998788795
50376,0.9972,28,1.064876895,56,0.987988865,61,1.07693932,1,0,42,1.049466412
50378,0.9976,50,1.061040655,79,0.979992733,12,0,2,0,88,1.055574151
50380,0.9927,387,0.96745328,580,0.999399801,229,1.038489107,473,1.164539614,287,0.903733622
50382,0.9994,386,0.979218765,511,1.021925901,262,1.001063776,257,0.961712385,491,0.999757694
50385,1.0000,87,0.965812362,44,0.994454226,6,0,124,0.936298207,22,0
50390,0.9880,346,1.074731532,310,1.160344722,98,0.891493232,58,0.979581777,461,1.109693033
50393,0.9975,198,0.964129346,355,1.062528929,149,0.893415664,115,0.785282507,206,0.90318211
50394,0.9983,279,1.022707366,362,0.869937147,205,0.887100545,408,1.022603997,208,0.997865099
50396,0.9989,503,0.922461634,512,0.821233254,231,1.058040004,522,0.979936183,192,0.924085296
50397,0.9938,25,1.018436355,30,1.049522113,3,0,0,0,17,0
50407,0.9788,163,1.135501594,106,1.104255347,16,0,13,0,187,1.067782546
50411,1.0000,10,0,16,0,4,0,6,0,6,0
50414,0.9978,117,0.98827819,189,1.050268718,27,1.032405889,258,0.789036773,154,1.036614891
50417,0.9976,238,0.9978003,150,1.052738737,36,0.977705569,12,0,108,0.970759122
50423,0.9987,59,0.992780799,29,0.996929021,11,0,0,0,79,1.020180263
50424,1.0000,110,0.930742372,317,0.935849894,189,0.962244563,958,0.754927247,88,0.914531346
50425,1.0000,8,0,20,0,7,0,15,0,21,0
50426,0.9975,259,0.988926869,247,1.076039002,80,1.013839926,10,0,193,0.9714153
50434,0.9991,73,0.990687152,52,0.975390932,7,0,0,0,43,1.020097192
50435,0.9995,107,1.01123633,62,0.998579488,6,0,203,0.903772409,56,0.9770332
50438,0.9994,580,0.990919946,506,0.925335014,230,1.043789343,980,0.717445458,429,0.98186473
50441,0.9994,398,1.073227805,461,0.987651937,244,0.946647435,1232,0.836294782,148,1.021875939
50444,0.9951,700,1.017473585,505,1.015548093,99,0.946719176,375,0.838655575,474,1.104665343
50448,1.0000,0,0,0,0,0,0,0,0,0,0
50454,0.9966,290,1.092893819,336,1.066642876,152,1.026258468,455,1.084856823,161,1.06936462
50455,0.9928,231,1.056158478,407,1.036744626,147,1.124829985,219,1.082732337,314,1.051971403
50457,0.9975,239,0.964736158,295,1.022887132,127,1.07294308,353,0.82964281,106,0.969188243
50464,0.9944,337,0.9995061,379,1.099695046,338,0.967728846,169,1.178751781,304,1.022051988
50468,0.9965,121,0.964982056,163,1.083920165,52,0.991517514,3,0,192,1.046754087
50471,0.9923,230,1.081980138,559,1.03291098,225,1.123972614,437,1.029133208,172,0.984865998
50481,0.9970,319,1.058691165,341,1.043949407,180,0.97470913,281,0.724645512,292,0.994037526
50485,0.9991,316,0.981786312,453,0.927611556,169,1.052148477,568,0.964560909,276,0.980117954
50488,0.9933,226,1.085141443,402,1.005269825,78,1.012652539,164,1.194066983,247,1.085724092
50492,1.0000,261,0.946060856,208,0.96568552,98,0.951071145,52,0.963008064,161,0.983072443
50496,0.9997,189,0.88598581,426,0.948883417,223,0.914488782,560,1.000739818,283,1.014279442
50498,1.0000,176,0.952125472,150,0.893297577,42,0.935754529,325,0.942507315,186,0.879544458
50502,0.9970,321,0.935902904,412,1.077892208,120,1.063547067,547,0.807264069,232,0.920952077
50503,1.0000,236,0.936203204,402,0.883071255,191,0.88055044,255,0.999695486,138,0.948503366
50506,0.9998,136,1.008416729,98,0.935872766,22,0,184,0.870070808,83,0.975670595
