"Readmission_Rate","COPD_L","COPD_H","AMI_L","AMI_H","PNE_L","PNE_H","HF_L","HF_H","HIP_L","HIP_H"
0.101,1.10865384714809,1.19098391559828,1.02250765260576,1.06810829140688,1.07336191369814,1.11705467108455,1.13631682915467,1.21854714623587,0.884380376538464,0.941120088440094
0.102,1.10702007243541,1.18692879464111,1.02161974614192,1.06562357268133,1.07203136885475,1.11389540610856,1.13418078575506,1.21442838063175,0.883792178954543,0.941346542260012
0.103,1.10538611449162,1.18291730789695,1.0207134482984,1.06318341058013,1.0706925448105,1.11079744560223,1.13205583807847,1.21035024470359,0.883203368747313,0.941573581792514
0.104,1.10375180996577,1.17894948792959,1.01978856641182,1.06078801485022,1.06934518975263,1.1077612564358,1.12994196365446,1.20631281665504,0.882612903946124,0.941802412968146
0.105,1.10211699124743,1.17502537156239,1.01884493952766,1.05843756352969,1.0679890562611,1.10478730108682,1.12783913831543,1.20231617638688,0.882019631239922,0.942034353057858
0.106,1.10048148627365,1.17114500007113,1.01788244642583,1.0561321949222,1.06662390889545,1.10187603005324,1.12574733614362,1.19836040555012,0.881422296106714,0.942270820543535
0.107,1.09884511834246,1.16730841937068,1.01690101449692,1.05387199872074,1.06524953369726,1.09902787235096,1.12366652942099,1.19444558759601,0.880819552660267,0.942513325271305
0.108,1.09720770593719,1.1635156801906,1.01590062935959,1.05165700639022,1.06386574982574,1.09624322387827,1.12159668858311,1.19057180782216,0.880209973359509,0.942763458742136
0.109,1.09556906256763,1.15976683823396,1.01488134503912,1.04948718098891,1.06247242348328,1.09352243349027,1.11953778217847,1.18673915341333,0.879592058696725,0.943022884423636
0.11,1.09392899663521,1.15606195431223,1.01384329444588,1.04736240669004,1.06106948418448,1.09086578672986,1.11748977683452,1.18294771347526,0.878964246951061,0.943293327996555
0.111,1.09228731133097,1.15240109444723,1.0127866998065,1.04528247835055,1.05965694326678,1.08827348731707,1.11545263723255,1.17919757905988,0.878324924064156,0.943576567479147
0.112,1.09064380457721,1.14878432992955,1.01171188261651,1.04324709155846,1.0582349143297,1.0857456367099,1.1134263260933,1.17548884317966,0.877672433665195,0.943874423202124
0.113,1.08899826902584,1.14521173732016,1.01061927260924,1.04125583366403,1.05680363502512,1.08328221231396,1.11141080417595,1.17182160080863,0.877005087243659,0.944188747635897
0.114,1.08735049212916,1.14168339837963,1.00950941518346,1.03930817635205,1.05536348931717,1.08088304522258,1.1094060302933,1.16819594886722,0.876321174440222,0.944521415099688
0.115,1.08570025630176,1.13819939990626,1.00838297671248,1.03740347033278,1.05391502901583,1.07854779868332,1.10741196134639,1.16461198618757,0.875618973400207,0.94487431140807
0.116,1.08404733919574,1.13475983346082,1.0072407471791,1.03554094270701,1.05245899310517,1.07627594876957,1.10542855238262,1.16106981345553,0.874896761110703,0.945249323533845
0.117,1.08239151411532,1.13136479495199,1.00608363965093,1.03371969749069,1.05099632319271,1.07406676893131,1.10345575668137,1.1575695331249,0.874152823622633,0.945648329385989
0.118,1.08073255060088,1.12801438405223,1.00491268623037,1.03193871966498,1.04952817335587,1.07191932014862,1.10149352587249,1.15411124929906,0.873385466043609,0.946073187816781
0.119,1.07907021521744,1.12470870340944,1.00372903027594,1.03019688295494,1.04805591280597,1.06983244826766,1.09954181009299,1.15069506757421,0.87259302217709,0.946525728982658
0.12,1.07740427258672,1.12144785761476,1.00253391488621,1.02849296134559,1.04658112015116,1.06780478973778,1.09760055818838,1.14732109483805,0.871773863678577,0.947007745188013
0.121,1.07573448670716,1.11823195188263,1.00132866784397,1.02682564413769,1.04510556860099,1.06583478640693,1.09566971796575,1.14398943901671,0.870926408600773,0.94752098234004
0.122,1.07406062261013,1.11506109039456,1.00011468341738,1.02519355414665,1.04363120215874,1.0639207093293,1.09374923650637,1.14070020876212,0.870049129206622,0.948067132135686
0.123,1.07238244840459,1.11193537425447,0.998893401582806,1.02359526847968,1.0421601035955,1.06206069079132,1.09183906054645,1.13745351307128,0.869140558941758,0.948647825089214
0.124,1.07069973776443,1.10885489900135,0.9976662853561,1.0220293412045,1.04069445567876,1.06025276308298,1.08993913693549,1.13424946082793,0.868199298475226,0.949264624491473
0.125,1.06901227291332,1.10581975162441,0.996434796981834,1.02049432716012,1.03923649763285,1.05849490203743,1.08804941318217,1.13108816025658,0.867224020738746,0.949919021370638
0.126,1.06731984815908,1.10283000702871,0.995200373732356,1.01898880615775,1.03778847906631,1.05678507310365,1.08616983809863,1.1279697182783,0.866213474918846,0.950612430500076
0.127,1.0656222740232,1.09988572390564,0.993964404014718,1.01751140687391,1.0363526135903,1.05512127772794,1.08430036255423,1.12489423975695,0.865166489381761,0.951346187473445
0.128,1.06391938199924,1.09698693997452,0.992728204385973,1.01606082983512,1.03493103410097,1.05350159807168,1.08244094035006,1.12186182662465,0.864081973536743,0.952121546841389
0.129,1.06221102995632,1.0941336665791,0.991492997951846,1.01463586901924,1.03352575127374,1.05192423851691,1.08059152922569,1.11887257687505,0.86295891866803,0.952939681279564
0.13,1.06049710817794,1.09132588264877,0.990259894487622,1.01323543173453,1.03213861630648,1.05038756292327,1.07875209200876,1.11592658341371,0.861796397788131,0.953801681735356
0.131,1.0587775459932,1.0885635280673,0.989029872489491,1.0118585565684,1.03077128843551,1.04889012711192,1.07692259791735,1.11302393275578,0.860593564584402,0.954708558481303
0.132,1.05705231891511,1.08584649653456,0.987800954093283,1.01049709600922,1.02942520730307,1.04743070649812,1.07510302402304,1.11016470356288,0.859349651546404,0.955661242987739
0.133,1.05532145615061,1.08317462805651,0.986566907770545,1.00913241934847,1.02810156992112,1.04600831912741,1.07329335688051,1.10734896501353,0.858063967372982,0.956660590515714
