"PROVIDER_NUMBER","value_2011","value_2012","value_2013","value_2014","Y12_11","Y13_12","Y14_13","change","change2","min","max","year_change"
280013,7447,7256,7110,7906,0.974352088089163,0.97711149718823,1.02013696672273,1.02206193403842,0.990533517333374,0.990533517333374,1.02206193403842,1.01939960835818
280020,5447,5011,4455,3900,0.919955939049018,0.904367957529976,0.89461411054292,0.894806972481117,0.906312669040638,0.894806972481117,0.906312669040638,0.900265098952814
280023,2556,2652,2647,2669,1.03755868544601,1.01764556890519,1.01452458266623,1.01466153724005,1.02324294567248,1.01466153724005,1.02324294567248,1.02168185224127
280030,2492,607,2207,2048,0.243579454253612,0.941081308332312,0.936685875467691,1.60248342969225,0.707115546017871,0.707115546017871,1.60248342969225,1.01014228724555
280032,1706,1444,1400,1483,0.846424384525205,0.905887995167714,0.954378633985069,0.958413061561165,0.902230337892663,0.902230337892663,0.958413061561165,0.905733362148415
280040,5637,5369,5109,4995,0.952456980663474,0.952015312867397,0.9604965720846,0.96057242208137,0.954989621871824,0.954989621871824,0.96057242208137,0.95786573073125
280060,4784,4580,4501,4508,0.957357859531773,0.969971381848635,0.980387078907836,0.980554720396058,0.969238773429415,0.969238773429415,0.980554720396058,0.969516367256852
280061,2423,2377,2372,2314,0.981015270326042,0.989419886980642,0.984774165513477,0.984819946412641,0.985069774273387,0.984819946412641,0.985069774273387,0.985034677899994
280065,2084,2113,2269,2377,1.01391554702495,1.04344218483355,1.04482564174988,1.04511409581572,1.03406112453613,1.03406112453613,1.04511409581572,1.03552538168445
280077,1618,1517,1357,1227,0.937577255871446,0.915800054826528,0.91191707677014,0.912102124346577,0.921764795822705,0.912102124346577,0.921764795822705,0.920791873189128
280081,2284,2276,2246,2551,0.996497373029772,0.991646369373386,1.03753985044787,1.03970444203099,1.00856119761701,1.00856119761701,1.03970444203099,1.02876181214164
280105,774,872,817,887,1.1266149870801,1.02740233382816,1.04647185650793,1.04974030238339,1.0668297258054,1.04974030238339,1.0668297258054,1.06577003005246
280111,1066,1049,908,881,0.984052532833021,0.922920562116527,0.938439403035516,0.939967707551416,0.948470832661688,0.939967707551416,0.948470832661688,0.943509657463939
280125,1890,1955,2040,1887,1.03439153439153,1.03892496329864,0.999470619276401,1.00095659842037,1.02426237232219,1.00095659842037,1.02426237232219,1.02213801166341
280127,279,315,399,545,1.12903225806452,1.19587103271286,1.25005973430192,1.25387123723287,1.1916543416931,1.1916543416931,1.25387123723287,1.22953661951207
280128,1466,670,1323,1398,0.457025920873124,0.94997666374727,0.984293008669256,1.16278070964946,0.79709853109655,0.79709853109655,1.16278070964946,0.816928289656977
280129,495,580,569,655,1.17171717171717,1.07214502260419,1.09785596788013,1.10129800316153,1.11390605406716,1.10129800316153,1.11390605406716,1.11104826740547
280130,2257,2564,2462,2611,1.13602126716881,1.04442737107541,1.04976423125457,1.05225319280781,1.07673762316626,1.05225319280781,1.07673762316626,1.05276507499039
280131,213,231,256,301,1.08450704225352,1.09630193572405,1.12217941381708,1.12283780015954,1.10099613059822,1.10099613059822,1.12283780015954,1.114048764092
280132,1223,1231,1241,1359,1.00654129190515,1.00733207374063,1.03577239748586,1.03658312597979,1.01654858771054,1.01654858771054,1.03658312597979,1.020176688852
280133,222,267,290,288,1.2027027027027,1.14293757760707,1.0906360222892,1.09398282435865,1.14542543419965,1.09398282435865,1.14542543419965,1.09398523066942
281300,105,74,54,44,0.704761904761905,0.717137165600636,0.748320757992275,0.749768816435483,0.723406609451605,0.723406609451605,0.749768816435483,0.734463908482976
281301,185,153,204,241,0.827027027027027,1.05009652066022,1.09214869554856,1.11391096979332,0.989757414411936,0.989757414411936,1.11391096979332,1.0208830765579
281302,43,50,31,28,1.16279069767442,0.849076105280404,0.866755338541367,0.895338834708677,0.959540713832063,0.895338834708677,0.959540713832063,0.905764023967272
281304,207,208,212,209,1.0048309178744,1.01200523188963,1.00321029489453,1.00330358123631,1.00668214821952,1.00330358123631,1.00668214821952,1.00486499675798
281305,156,85,77,78,0.544871794871795,0.702559423529244,0.7937005259841,0.821247053599995,0.68037724812838,0.68037724812838,0.821247053599995,0.680883241858326
281306,66,80,67,70,1.21212121212121,1.00754727688159,1.0198071084068,1.03146577717473,1.07982519913654,1.03146577717473,1.07982519913654,1.04788015756394
281307,145,126,98,94,0.868965517241379,0.822108307320585,0.865472521661431,0.868642322829515,0.852182115407798,0.852182115407798,0.868642322829515,0.859696366908066
281308,51,56,34,57,1.09803921568627,0.816496580927726,1.03777107043295,1.12721755368814,0.984102289015651,0.984102289015651,1.12721755368814,1.09225333771575
281309,71,72,62,88,1.01408450704225,0.934472812135119,1.07417434195422,1.09818348562101,1.0075772203772,1.0075772203772,1.09818348562101,1.0961738050864
281310,45,58,44,16,1.28888888888889,0.988826464946088,0.708439046121741,0.803715314060142,0.995384799985573,0.803715314060142,0.995384799985573,0.94723921275971
281311,83,104,74,68,1.25301204819277,0.944227867127549,0.935715032914869,0.961156476216717,1.0443183160784,0.961156476216717,1.0443183160784,0.985744468224955
281312,111,62,72,83,0.558558558558559,0.805387266256829,0.907649914747875,0.957542219638994,0.757198579854421,0.757198579854421,0.957542219638994,0.813648406770423
281313,114,132,132,149,1.15789473684211,1.07605517369794,1.09335317983393,1.09556087187666,1.10910103012466,1.09556087187666,1.10910103012466,1.09716836596325
281314,136,112,81,88,0.823529411764706,0.77174363314129,0.864930585062831,0.87772115018847,0.820067876656276,0.820067876656276,0.87772115018847,0.873477755787895
281315,270,325,271,301,1.2037037037037,1.00185014034221,1.03689371917155,1.04941698818698,1.08081585440582,1.04941698818698,1.08081585440582,1.07964429740739
281316,87,71,65,76,0.816091954022989,0.864364759104401,0.955941787562165,0.966938560333412,0.878799500229852,0.878799500229852,0.966938560333412,0.929456702188775
281317,63,52,42,12,0.825396825396825,0.816496580927726,0.575369582664788,0.63960113960114,0.739087662996447,0.63960113960114,0.739087662996447,0.727865299589491
